,tweet_id,in_reply_to_status_id,in_reply_to_user_id,timestamp,source,text,expanded_urls,rating_numerator,rating_denominator,name,favorite_count,retweet_count,jpg_url,img_num,dog_type,txt_splt,Extracted_name
10,890006608113172480,nan,nan,2017-07-26 00:31:25,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,"https://twitter.com/dog_rates/status/890006608113172480/photo/1,https://twitter.com/dog_rates/status/890006608113172480/photo/1",13.0,10.0,Koda,30067,7160,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,1,,"['This', 'is', 'Koda.', 'He', 'is', 'a', 'South', 'Australian', 'deckshark.', 'Deceptively', 'deadly.', 'Frighteningly', 'majestic.', '13/10', 'would', 'risk', 'a', 'petting', '#BarkWeek', 'https://t.co/dVPW0B0Mme']",Koda
11,889880896479866881,nan,nan,2017-07-25 16:11:53,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy https://t.co/u1XPQMl29g,https://twitter.com/dog_rates/status/889880896479866881/photo/1,13.0,10.0,Bruno,27266,4860,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,1,,"['This', 'is', 'Bruno.', 'He', 'is', 'a', 'service', 'shark.', 'Only', 'gets', 'out', 'of', 'the', 'water', 'to', 'assist', 'you.', '13/10', 'terrifyingly', 'good', 'boy', 'https://t.co/u1XPQMl29g']",Bruno
12,889665388333682689,nan,nan,2017-07-25 01:55:32,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10 https://t.co/BxvuXk0UCm,https://twitter.com/dog_rates/status/889665388333682689/photo/1,13.0,10.0,,47170,9801,https://pbs.twimg.com/media/DFi579UWsAAatzw.jpg,1,puppo,"[""Here's"", 'a', 'puppo', 'that', 'seems', 'to', 'be', 'on', 'the', 'fence', 'about', 'something', 'haha', 'no', 'but', 'seriously', 'someone', 'help', 'her.', '13/10', 'https://t.co/BxvuXk0UCm']",
13,889638837579907072,nan,nan,2017-07-25 00:10:02,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist https://t.co/f8dEDcrKSR,"https://twitter.com/dog_rates/status/889638837579907072/photo/1,https://twitter.com/dog_rates/status/889638837579907072/photo/1",12.0,10.0,Ted,26617,4420,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,1,,"['This', 'is', 'Ted.', 'He', 'does', 'his', 'best.', 'Sometimes', ""that's"", 'not', 'enough.', 'But', ""it's"", 'ok.', '12/10', 'would', 'assist', 'https://t.co/f8dEDcrKSR']",Ted
14,889531135344209921,nan,nan,2017-07-24 17:02:04,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek https://t.co/y70o6h3isq,https://twitter.com/dog_rates/status/889531135344209921/photo/1,13.0,10.0,Stuart,14816,2194,https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg,1,puppo,"['This', 'is', 'Stuart.', ""He's"", 'sporting', 'his', 'favorite', 'fanny', 'pack.', 'Secretly', 'filled', 'with', 'bones', 'only.', '13/10', 'puppared', 'puppo', '#BarkWeek', 'https://t.co/y70o6h3isq']",Stuart
15,889278841981685760,nan,nan,2017-07-24 00:19:32,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek https://t.co/WpHvrQedPb,https://twitter.com/dog_rates/status/889278841981685760/video/1,13.0,10.0,Oliver,24752,5244,https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg,1,,"['This', 'is', 'Oliver.', ""You're"", 'witnessing', 'one', 'of', 'his', 'many', 'brutal', 'attacks.', 'Seems', 'to', 'be', 'playing', 'with', 'his', 'victim.', '13/10', 'fr*ckin', 'frightening', '#BarkWeek', 'https://t.co/WpHvrQedPb']",Oliver
16,888917238123831296,nan,nan,2017-07-23 00:22:39,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both https://t.co/chxruIOUJN,https://twitter.com/dog_rates/status/888917238123831296/photo/1,12.0,10.0,Jim,28540,4399,https://pbs.twimg.com/media/DFYRgsOUQAARGhO.jpg,1,,"['This', 'is', 'Jim.', 'He', 'found', 'a', 'fren.', 'Taught', 'him', 'how', 'to', 'sit', 'like', 'the', 'good', 'boys.', '12/10', 'for', 'both', 'https://t.co/chxruIOUJN']",Jim
17,888804989199671297,nan,nan,2017-07-22 16:56:37,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Zeke. He has a new stick. Very proud of it. Would like you to throw it for him without taking it. 13/10 would do my best https://t.co/HTQ77yNQ5K,"https://twitter.com/dog_rates/status/888804989199671297/photo/1,https://twitter.com/dog_rates/status/888804989199671297/photo/1",13.0,10.0,Zeke,25060,4185,https://pbs.twimg.com/media/DFWra-3VYAA2piG.jpg,1,,"['This', 'is', 'Zeke.', 'He', 'has', 'a', 'new', 'stick.', 'Very', 'proud', 'of', 'it.', 'Would', 'like', 'you', 'to', 'throw', 'it', 'for', 'him', 'without', 'taking', 'it.', '13/10', 'would', 'do', 'my', 'best', 'https://t.co/HTQ77yNQ5K']",Zeke
18,888554962724278272,nan,nan,2017-07-22 00:23:06,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Ralphus. He's powering up. Attempting maximum borkdrive. 13/10 inspirational af https://t.co/YnYAFCTTiK,"https://twitter.com/dog_rates/status/888554962724278272/photo/1,https://twitter.com/dog_rates/status/888554962724278272/photo/1,https://twitter.com/dog_rates/status/888554962724278272/photo/1,https://twitter.com/dog_rates/status/888554962724278272/photo/1",13.0,10.0,Ralphus,19437,3463,https://pbs.twimg.com/media/DFTH_O-UQAACu20.jpg,3,,"['This', 'is', 'Ralphus.', ""He's"", 'powering', 'up.', 'Attempting', 'maximum', 'borkdrive.', '13/10', 'inspirational', 'af', 'https://t.co/YnYAFCTTiK']",Ralphus
19,888078434458587136,nan,nan,2017-07-20 16:49:33,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Gerald. He was just told he didn't get the job he interviewed for. A h*ckin injustice. 12/10 didn't want the job anyway https://t.co/DK7iDPfuRX,"https://twitter.com/dog_rates/status/888078434458587136/photo/1,https://twitter.com/dog_rates/status/888078434458587136/photo/1",12.0,10.0,Gerald,21331,3409,https://pbs.twimg.com/media/DFMWn56WsAAkA7B.jpg,1,,"['This', 'is', 'Gerald.', 'He', 'was', 'just', 'told', 'he', ""didn't"", 'get', 'the', 'job', 'he', 'interviewed', 'for.', 'A', 'h*ckin', 'injustice.', '12/10', ""didn't"", 'want', 'the', 'job', 'anyway', 'https://t.co/DK7iDPfuRX']",Gerald
20,887705289381826560,nan,nan,2017-07-19 16:06:48,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Jeffrey. He has a monopoly on the pool noodles. Currently running a 'boop for two' midweek sale. 13/10 h*ckin strategic https://t.co/PhrUk20Q64,https://twitter.com/dog_rates/status/887705289381826560/photo/1,13.0,10.0,Jeffrey,29582,5267,https://pbs.twimg.com/media/DFHDQBbXgAEqY7t.jpg,1,,"['This', 'is', 'Jeffrey.', 'He', 'has', 'a', 'monopoly', 'on', 'the', 'pool', 'noodles.', 'Currently', 'running', 'a', ""'boop"", 'for', ""two'"", 'midweek', 'sale.', '13/10', 'h*ckin', 'strategic', 'https://t.co/PhrUk20Q64']",Jeffrey
21,887517139158093824,nan,nan,2017-07-19 03:39:09,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",I've yet to rate a Venezuelan Hover Wiener. This is such an honor. 14/10 paw-inspiring af (IG: roxy.thedoxy) https://t.co/20VrLAA8ba,https://twitter.com/dog_rates/status/887517139158093824/video/1,14.0,10.0,,45370,11411,https://pbs.twimg.com/ext_tw_video_thumb/887517108413886465/pu/img/WanJKwssZj4VJvL9.jpg,1,,"[""I've"", 'yet', 'to', 'rate', 'a', 'Venezuelan', 'Hover', 'Wiener.', 'This', 'is', 'such', 'an', 'honor.', '14/10', 'paw-inspiring', 'af', '(IG:', 'roxy.thedoxy)', 'https://t.co/20VrLAA8ba']",
22,887473957103951883,nan,nan,2017-07-19 00:47:34,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Canela. She attempted some fancy porch pics. They were unsuccessful. 13/10 someone help her https://t.co/cLyzpcUcMX,"https://twitter.com/dog_rates/status/887473957103951883/photo/1,https://twitter.com/dog_rates/status/887473957103951883/photo/1",13.0,10.0,Canela,67666,17746,https://pbs.twimg.com/media/DFDw2tyUQAAAFke.jpg,2,,"['This', 'is', 'Canela.', 'She', 'attempted', 'some', 'fancy', 'porch', 'pics.', 'They', 'were', 'unsuccessful.', '13/10', 'someone', 'help', 'her', 'https://t.co/cLyzpcUcMX']",Canela
23,887343217045368832,nan,nan,2017-07-18 16:08:03,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",You may not have known you needed to see this today. 13/10 please enjoy (IG: emmylouroo) https://t.co/WZqNqygEyV,https://twitter.com/dog_rates/status/887343217045368832/video/1,13.0,10.0,,33019,10163,https://pbs.twimg.com/ext_tw_video_thumb/887343120832229379/pu/img/6HSuFrW1lzI_9Mht.jpg,1,,"['You', 'may', 'not', 'have', 'known', 'you', 'needed', 'to', 'see', 'this', 'today.', '13/10', 'please', 'enjoy', '(IG:', 'emmylouroo)', 'https://t.co/WZqNqygEyV']",
24,887101392804085760,nan,nan,2017-07-18 00:07:08,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This... is a Jubilant Antarctic House Bear. We only rate dogs. Please only send dogs. Thank you... 12/10 would suffocate in floof https://t.co/4Ad1jzJSdp,https://twitter.com/dog_rates/status/887101392804085760/photo/1,12.0,10.0,,29978,5823,https://pbs.twimg.com/media/DE-eAq6UwAA-jaE.jpg,1,,"['This...', 'is', 'a', 'Jubilant', 'Antarctic', 'House', 'Bear.', 'We', 'only', 'rate', 'dogs.', 'Please', 'only', 'send', 'dogs.', 'Thank', 'you...', '12/10', 'would', 'suffocate', 'in', 'floof', 'https://t.co/4Ad1jzJSdp']",
25,886983233522544640,nan,nan,2017-07-17 16:17:36,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Maya. She's very shy. Rarely leaves her cup. 13/10 would find her an environment to thrive in https://t.co/I6oNy0CgiT,"https://twitter.com/dog_rates/status/886983233522544640/photo/1,https://twitter.com/dog_rates/status/886983233522544640/photo/1",13.0,10.0,Maya,34458,7591,https://pbs.twimg.com/media/DE8yicJW0AAAvBJ.jpg,2,,"['This', 'is', 'Maya.', ""She's"", 'very', 'shy.', 'Rarely', 'leaves', 'her', 'cup.', '13/10', 'would', 'find', 'her', 'an', 'environment', 'to', 'thrive', 'in', 'https://t.co/I6oNy0CgiT']",Maya
26,886736880519319552,nan,nan,2017-07-16 23:58:41,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","This is Mingus. He's a wonderful father to his smol pup. Confirmed 13/10, but he needs your help

https://t.co/bVi0Yr4Cff https://t.co/ISvKOSkd5b","https://www.gofundme.com/mingusneedsus,https://twitter.com/dog_rates/status/886736880519319552/photo/1,https://twitter.com/dog_rates/status/886736880519319552/photo/1",13.0,10.0,Mingus,11825,3205,https://pbs.twimg.com/media/DE5Se8FXcAAJFx4.jpg,1,,"['This', 'is', 'Mingus.', ""He's"", 'a', 'wonderful', 'father', 'to', 'his', 'smol', 'pup.', 'Confirmed', '13/10,', 'but', 'he', 'needs', 'your', 'help', 'https://t.co/bVi0Yr4Cff', 'https://t.co/ISvKOSkd5b']",Mingus
27,886680336477933568,nan,nan,2017-07-16 20:14:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Derek. He's late for a dog meeting. 13/10 pet...al to the metal https://t.co/BCoWue0abA,https://twitter.com/dog_rates/status/886680336477933568/photo/1,13.0,10.0,Derek,22000,4358,https://pbs.twimg.com/media/DE4fEDzWAAAyHMM.jpg,1,,"['This', 'is', 'Derek.', ""He's"", 'late', 'for', 'a', 'dog', 'meeting.', '13/10', 'pet...al', 'to', 'the', 'metal', 'https://t.co/BCoWue0abA']",Derek
28,886366144734445568,nan,nan,2017-07-15 23:25:31,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Roscoe. Another pupper fallen victim to spontaneous tongue ejections. Get the BlepiPen immediate. 12/10 deep breaths Roscoe https://t.co/RGE08MIJox,"https://twitter.com/dog_rates/status/886366144734445568/photo/1,https://twitter.com/dog_rates/status/886366144734445568/photo/1",12.0,10.0,Roscoe,20784,3127,https://pbs.twimg.com/media/DE0BTnQUwAApKEH.jpg,1,pupper,"['This', 'is', 'Roscoe.', 'Another', 'pupper', 'fallen', 'victim', 'to', 'spontaneous', 'tongue', 'ejections.', 'Get', 'the', 'BlepiPen', 'immediate.', '12/10', 'deep', 'breaths', 'Roscoe', 'https://t.co/RGE08MIJox']",Roscoe
29,886258384151887873,nan,nan,2017-07-15 16:17:19,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Waffles. His doggles are pupside down. Unsure how to fix. 13/10 someone assist Waffles https://t.co/xZDA9Qsq1O,https://twitter.com/dog_rates/status/886258384151887873/photo/1,13.0,10.0,Waffles,27455,6140,https://pbs.twimg.com/media/DEyfTG4UMAE4aE9.jpg,1,,"['This', 'is', 'Waffles.', 'His', 'doggles', 'are', 'pupside', 'down.', 'Unsure', 'how', 'to', 'fix.', '13/10', 'someone', 'assist', 'Waffles', 'https://t.co/xZDA9Qsq1O']",Waffles
30,885984800019947520,nan,nan,2017-07-14 22:10:11,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Viewer discretion advised. This is Jimbo. He will rip ur finger right h*ckin off. Other dog clearly an accessory. 12/10 pls pet with caution https://t.co/BuveP0uMF1,https://twitter.com/dog_rates/status/885984800019947520/photo/1,12.0,10.0,Jimbo,32013,6617,https://pbs.twimg.com/media/DEumeWWV0AA-Z61.jpg,1,,"['Viewer', 'discretion', 'advised.', 'This', 'is', 'Jimbo.', 'He', 'will', 'rip', 'ur', 'finger', 'right', 'h*ckin', 'off.', 'Other', 'dog', 'clearly', 'an', 'accessory.', '12/10', 'pls', 'pet', 'with', 'caution', 'https://t.co/BuveP0uMF1']",Jimbo
31,885528943205470208,nan,nan,2017-07-13 15:58:47,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Maisey. She fell asleep mid-excavation. Happens to the best of us. 13/10 would pat noggin approvingly https://t.co/tp1kQ8i9JF,https://twitter.com/dog_rates/status/885528943205470208/photo/1,13.0,10.0,Maisey,35288,6280,https://pbs.twimg.com/media/DEoH3yvXgAAzQtS.jpg,1,,"['This', 'is', 'Maisey.', 'She', 'fell', 'asleep', 'mid-excavation.', 'Happens', 'to', 'the', 'best', 'of', 'us.', '13/10', 'would', 'pat', 'noggin', 'approvingly', 'https://t.co/tp1kQ8i9JF']",Maisey
32,885311592912609280,nan,nan,2017-07-13 01:35:06,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @dog_rates: This is Lilly. She just parallel barked. Kindly requests a reward now. 13/10 would pet so well https://t.co/SATN4If5H5,"https://twitter.com/dog_rates/status/830583320585068544/photo/1,https://twitter.com/dog_rates/status/830583320585068544/photo/1,https://twitter.com/dog_rates/status/830583320585068544/photo/1,https://twitter.com/dog_rates/status/830583320585068544/photo/1",13.0,10.0,Lilly,0,18132,https://pbs.twimg.com/media/C4bTH6nWMAAX_bJ.jpg,1,,"['RT', '@dog_rates:', 'This', 'is', 'Lilly.', 'She', 'just', 'parallel', 'barked.', 'Kindly', 'requests', 'a', 'reward', 'now.', '13/10', 'would', 'pet', 'so', 'well', 'https://t.co/SATN4If5H5']",Lilly
33,885167619883638784,nan,nan,2017-07-12 16:03:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Here we have a corgi undercover as a malamute. Pawbably doing important investigative work. Zero control over tongue happenings. 13/10 https://t.co/44ItaMubBf,"https://twitter.com/dog_rates/status/885167619883638784/photo/1,https://twitter.com/dog_rates/status/885167619883638784/photo/1,https://twitter.com/dog_rates/status/885167619883638784/photo/1,https://twitter.com/dog_rates/status/885167619883638784/photo/1",13.0,10.0,,21492,4285,https://pbs.twimg.com/media/DEi_N9qXYAAgEEw.jpg,4,,"['Here', 'we', 'have', 'a', 'corgi', 'undercover', 'as', 'a', 'malamute.', 'Pawbably', 'doing', 'important', 'investigative', 'work.', 'Zero', 'control', 'over', 'tongue', 'happenings.', '13/10', 'https://t.co/44ItaMubBf']",
34,884925521741709313,nan,nan,2017-07-12 00:01:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","This is Earl. He found a hat. Nervous about what you think of it. 12/10 it's delightful, Earl https://t.co/MYJvdlNRVa",https://twitter.com/dog_rates/status/884925521741709313/photo/1,12.0,10.0,Earl,75906,17841,https://pbs.twimg.com/media/DEfjEaNXkAAtPlj.jpg,1,,"['This', 'is', 'Earl.', 'He', 'found', 'a', 'hat.', 'Nervous', 'about', 'what', 'you', 'think', 'of', 'it.', '12/10', ""it's"", 'delightful,', 'Earl', 'https://t.co/MYJvdlNRVa']",Earl
35,884876753390489601,nan,nan,2017-07-11 20:47:12,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Lola. It's her first time outside. Must test the earth and taste the atmosphere. 13/10 you're doing great Lola https://t.co/74TKAUsLkO,"https://twitter.com/dog_rates/status/884876753390489601/photo/1,https://twitter.com/dog_rates/status/884876753390489601/photo/1,https://twitter.com/dog_rates/status/884876753390489601/photo/1,https://twitter.com/dog_rates/status/884876753390489601/photo/1",13.0,10.0,Lola,27382,5479,https://pbs.twimg.com/media/DEe2tZXXkAAwyX3.jpg,1,,"['This', 'is', 'Lola.', ""It's"", 'her', 'first', 'time', 'outside.', 'Must', 'test', 'the', 'earth', 'and', 'taste', 'the', 'atmosphere.', '13/10', ""you're"", 'doing', 'great', 'Lola', 'https://t.co/74TKAUsLkO']",Lola
36,884562892145688576,nan,nan,2017-07-11 00:00:02,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is Kevin. He's just so happy. 13/10 what is your secret Kevin https://t.co/1r4MFCbCX5,https://twitter.com/dog_rates/status/884562892145688576/photo/1,13.0,10.0,Kevin,23822,4583,https://pbs.twimg.com/media/DEaZQkfXUAEC7qB.jpg,1,,"['This', 'is', 'Kevin.', ""He's"", 'just', 'so', 'happy.', '13/10', 'what', 'is', 'your', 'secret', 'Kevin', 'https://t.co/1r4MFCbCX5']",Kevin
37,884441805382717440,nan,nan,2017-07-10 15:58:53,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","I present to you, Pup in Hat. Pup in Hat is great for all occasions. Extremely versatile. Compact as h*ck. 14/10 (IG: itselizabethgales) https://t.co/vvBOcC2VdC",https://twitter.com/dog_rates/status/884441805382717440/photo/1,14.0,10.0,,26476,5529,https://pbs.twimg.com/media/DEYrIZwWsAA2Wo5.jpg,1,,"['I', 'present', 'to', 'you,', 'Pup', 'in', 'Hat.', 'Pup', 'in', 'Hat', 'is', 'great', 'for', 'all', 'occasions.', 'Extremely', 'versatile.', 'Compact', 'as', 'h*ck.', '14/10', '(IG:', 'itselizabethgales)', 'https://t.co/vvBOcC2VdC']",
